ลำดับ,TC_ID,โมดูล,หมวดฟีเจอร์,ความสำคัญ,ประเภท,เงื่อนไขก่อนทดสอบ,ขั้นตอนทดสอบ,ผลที่คาดหวัง,ข้อมูลทดสอบ,ผลจริง,Pass_Fail,ผู้ทดสอบ,วันที่ทดสอบ,หมายเหตุ
1,AUTH-01,Authen,สมัครสมาชิก,High,Manual / UI,ไม่มีบัญชีซ้ำ,กรอกชื่ออีเมล CMU รหัสผ่านอย่างน้อย 6 ตัว เลือกคณะ กดส่ง,สมัครสำเร็จหรือไปหน้า Login ตามระบบ,อีเมล @cmu.ac.th ที่ยังไม่ใช้,,,,,
2,AUTH-02,Authen,สมัครสมาชิก,Medium,Manual / UI,มีอีเมลนี้ในระบบแล้ว,สมัครด้วยอีเมลเดิม,แสดงข้อความ error ไม่สร้าง user ซ้ำ,อีเมลที่ลงทะเบียนแล้ว,,,,,
3,AUTH-03,Authen,สมัครสมาชิก,Medium,Manual / UI,-,สมัครด้วยรหัสผ่านสั้นกว่า 6 ตัว,ระบบไม่ยอมรับ / แจ้งเตือนValidation,รหัสผ่าน 5 ตัว,,,,,
4,AUTH-04,Authen,Login,High,Manual / UI,มี user ในระบบ,กรอกอีเมลและรหัสที่ถูกต้อง กดเข้าสู่ระบบ,เข้าระบบได้ มี session หรือ token,,,,,
5,AUTH-05,Authen,Login,Medium,Manual / UI,มี user ในระบบ,ใส่รหัสผิด,ปฏิเสธ Login ข้อความไม่เปิดช่องโจมตี,รหัสผิดจากที่ตั้งไว้,,,,,
6,AUTH-06,Authen,Route ป้องกัน,High,Manual / UI,ยังไม่ Login,เปิด URL ที่ต้อง auth เช่น แชทหรือโปรไฟล์,Redirect ไป Login หรือบล็อกตามระบบ,URL จาก App routes,,,,,
7,AUTH-07,Authen,Logout,Low,Manual / UI,Login แล้ว,กดออกจากระบบ,session/token ถูกล้าง เข้า protected ใหม่ไม่ได้,-,,,,,
8,ITM-01,โพสต์สินค้า,หน้าแรก,High,Manual / UI,มีรายการ active ใน DB,เปิดหน้าแรกโดยไม่ Login ใช้ตัวกรองหมวดและสภาพ,การ์ดแสดงและกรองทำงาน,-,,,,,
9,ITM-02,โพสต์สินค้า,รายละเอียด,High,Manual / UI,มี item active,คลิกการ์ดหรือเปิด /items/:id,แสดงรูป CO₂ จุดนัดรับ ปุ่มตาม listing type,item ID จากหน้าแรก,,,,,
10,ITM-03,โพสต์สินค้า,สร้างโพสต์แลก,High,Manual / UI,Login ครบฟอร์ม,กรอกข้อครบมีรูป 1–3 รูปประเภทแลก บันทึก,บันทึกสำเร็จเห็นบนหน้าแรก มี co2 footprint,ภาพ base64 เล็กเกินขนาดเกินตามกฎ,,,,,
11,ITM-04,โพสต์สินค้า,สร้างโพสต์บริจาค,High,Manual / UI,Login เลือกบริจาค,กรอกข้อความครบไม่ระบุสิ่งที่ต้องการแลกเมื่อเป็น donation,โพสต์ขึ้นเป็นบริจาคมีปุ่มขอรับบริจาค,-,,,,,
12,ITM-05,โพสต์สินค้า,Validation Others,Medium-High,Manual / API,Login เลือกหมวด Others เว้นประเภทย่อย,Submit,ไม่ยอมรับ 400 หรือ toast ภาษาไทย,subtype ว่างหรือ 1 ตัว,,,,,
13,ITM-06,โพสต์สินค้า,Others + CO2,Medium-High,Manual / UI,Login,เลือก Others กรอกประเภทย่อย ≥2 ตัว พร้อม title description,สำเร็จ DB เก็บ other_subtype และคำนวณ CO2,ข้อความ subtype ธรรมดา,,,,,
14,ITM-07,โพสต์สินค้า,รูปบังคับ,High,Manual / UI,Login,พยายามโพสต์ไม่มีรูปเลย,ไม่ submit ได้หรือ API 400,ข้อความเหลือครบยกเว้นรูป,,,,,
15,ITM-08,โพสต์สินค้า,จำนวนรูป,Medium,Manual / UI,Login,พยายามแนบรูปใบที่ 4,UI ตัดหรือเตือน ไม่ส่งเกิน 3,ไฟล์รูป 4 ไฟล์,,,,,
16,ITM-09,โพสต์สินค้า,ขนาดไฟล์,Medium,Manual / UI,Login,แนบรูปใหญ่กว่า 5MB,ระบบปฏิเสธก่อนหรือ 400,ไฟล์รูปขนาดใหญ่,,,,,
17,ITM-10,โพสต์สินค้า,วันหมดอายุ,Medium,Manual / API,Login,ตั้ง available_until เป็นวันในอดีต,400 ไม่บันทึก,วันที่ย้อนหลัง 1 วัน,,,,,
18,ITM-11,โพสต์สินค้า,แก้ไขของตัวเอง,High,Manual / UI,เป็นเจ้าของโพสต์,แก้ชื่อหรือรายละเอียดบันทึก,ข้อมูลอัปเดตบนหน้าแรกและดีเทล,แก้ title สั้นๆ,,,,,
19,ITM-12,โพสต์สินค้า,สิทธิ์แก้ไข,High,Manual / API,User A ถือ token; item ของ B,PUT /items/:id ของ B,403 หรือ 404 ตามระบบ,token A item B,,,,,
20,ITM-13,โพสต์สินค้า,Rate limit,Medium,API,Login,สร้างโพสต์ต่อเนื่องเกิน 5 ครั้งใน 1 ชม.,ถูกจำกัด 429 หรือข้อความชัดเจน,สร้าง POST /items ซ้ำ,,,,,
21,ITM-14,โพสต์สินค้า,Moderation ข้อความ,High,Manual / API,Login,ใส่คำต้องห้ามในชื่อหรือรายละเอียด,400 ข้อความไทย / toast FE,คำทดสอบจากรายการกรอง,,,,,
22,ITM-16,โพสต์สินค้า,Moderation รูป,High,Manual / API,Login โมเดลรูปทำงาน,แนบรูปที่โมเดลจับ NSFW,ไม่บันทึก 400,รูปทดสอบ NSFW (ใช้เฉพาะสภาพทดสอบ),,,,,
23,EXC-01,แลกเปลี่ยน,ส่งคำขอ,High,Manual / UI,item active ไม่ใช่เจ้าของ,กดขอแลกกรอกข้อมูลส่ง,คำขอสถานะ pending,item ของ user อื่น,,,,,
24,EXC-02,แลกเปลี่ยน,สิทธิ์,Medium,Manual / UI,เป็นเจ้าของโพสต์,พยายามขอแลกของตนเอง,ระบบไม่ให้หรือ error,-,,,,,
25,EXC-03,แลกเปลี่ยน,ยอมรับ,High,Manual / UI,มีคำขอ pending ฝั่งเจ้าของ,กดยอมรับ,สถานะเปลี่ยนตาม flow,-,,,,,
26,DON-01,บริจาค,ขอรับ,High,Manual / UI,โพสต์บริจาค active,user อื่นกดขอรับ,มี donation request,-,,,,,
27,CHT-01,แชท,Inbox,High,Manual / UI,Login มีแชท,เปิดกล่องแชท,เห็นรายการห้อง,-,,,,,
28,CHT-02,แชท,ส่งข้อความ,High,Manual / UI,เลือกห้อง,พิมพ์ส่งข้อความ,อีกฝั่งหรือตัวเองเห็นข้อความ realtime หรือหลังรีเฟรช,ข้อความสั้นๆ,,,,,
29,CHT-05,แชท,ลบห้อง,Medium,Manual / UI,มีแชทและสิทธิ์,ยืนยันใน ConfirmDialog ลบ,ห้องหายจากรายการ,-,,,,,
30,PRF-01,โปรไฟล์,แก้ไข,Medium,Manual / UI,Login,แก้ชื่อหรือคณะบันทึก,ข้อมูลอัปเดต,-,,,,,
31,ADM-01,แอดมิน,สิทธิ์,High,Manual / UI,user ไม่ใช่ admin,เปิด /admin,ไม่ให้เข้าหรือ redirect,-,,,,,
32,ADM-02,แอดมิน,Dashboard,Medium,Manual / UI,admin login,เปิด dashboard,ตัวเลขสรุปโหลด,-,,,,,
33,I18-01,ภาษาไทย,การ์ด,Low,Manual / UI,-,ดูหน้าแรก,ป้ายหมวดสภาพเป็นภาษาไทย,-,,,,,
